"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Nov 2026",1197.81625427818,1094.56797874127,1301.06452981509,1039.91164321228,1355.72086534408
"Dec 2026",1218.18486810343,1114.93659256652,1321.43314364033,1060.28025703753,1376.08947916932
"Jan 2027",1220.35804371836,1117.10976818145,1323.60631925527,1062.45343265247,1378.26265478426
"Feb 2027",1197.64645805899,1094.39818252208,1300.8947335959,1039.7418469931,1355.55106912489
"Mar 2027",1237.70257946215,1134.45430392524,1340.95085499906,1079.79796839626,1395.60719052805
"Apr 2027",1232.94676507984,1129.69848954293,1336.19504061675,1075.04215401394,1390.85137614573
"May 2027",1246.88967403975,1143.64139850284,1350.13794957666,1088.98506297385,1404.79428510565
"Jun 2027",1203.79751435033,1100.54923881342,1307.04578988724,1045.89290328443,1361.70212541622
"Jul 2027",1236.24347779728,1132.99520226037,1339.49175333419,1078.33886673139,1394.14808886318
"Aug 2027",1205.55422431351,1102.30594877661,1308.80249985042,1047.64961324762,1363.45883537941
"Sep 2027",1198.04495254772,1094.79667701081,1301.29322808463,1040.14034148183,1355.94956361362
"Oct 2027",1192.61698664378,1089.36871110687,1295.86526218069,1034.71237557788,1350.52159770967
"Nov 2027",1187.08185514417,1083.67223171963,1290.4914785687,1028.93048377831,1345.23322651002
"Dec 2027",1200.65391859329,1097.24429516876,1304.06354201783,1042.50254722744,1358.80528995915
"Jan 2028",1215.31562906435,1111.90600563982,1318.72525248889,1057.1642576985,1373.46700043021
"Feb 2028",1210.25234059648,1106.84271717195,1313.66196402101,1052.10096923063,1368.40371196233
"Mar 2028",1220.5002064526,1117.09058302807,1323.90982987713,1062.34883508675,1378.65157781845
"Apr 2028",1181.67116549617,1078.26154207163,1285.0807889207,1023.51979413031,1339.82253686202
"May 2028",1232.60400787347,1129.19438444894,1336.01363129801,1074.45263650762,1390.75537923933
"Jun 2028",1178.9872873695,1075.57766394496,1282.39691079403,1020.83591600364,1337.13865873535
"Jul 2028",1207.77497625904,1104.36535283451,1311.18459968357,1049.62360489319,1365.92634762489
"Aug 2028",1200.79042761012,1097.38080418558,1304.20005103465,1042.63905624426,1358.94179897597
"Sep 2028",1195.10227569798,1091.69265227345,1298.51189912252,1036.95090433213,1353.25364706384
"Oct 2028",1187.84470901541,1084.43508559088,1291.25433243994,1029.69333764956,1345.99608038127
